id_cliente,fecha_alta,fecha_nacimiento,genero,estado_civil,nivel_estudios,situacion_laboral,antiguedad_laboral_anios,ingresos_mensuales,num_dependientes,tipo_vivienda,provincia,estado_cliente
1,2010-06-30,1986-02-10,hombre,soltero,secundaria,empleado,6.1,3544.07,2,propia,A Coruña,activo
2,2020-09-24,1973-08-02,mujer,viudo,formacion_profesional,empleado,7.6,1411.64,2,propia,Zaragoza,activo
3,2024-01-04,1972-12-29,hombre,divorciado,universitario,empleado,9.9,2134.5,3,hipotecada,Madrid,activo
4,2019-08-06,1996-05-21,mujer,casado,formacion_profesional,estudiante,0,138.5,0,propia,Málaga,activo
5,2022-01-17,1990-05-25,mujer,casado,universitario,empleado,0,2265.8,0,hipotecada,Madrid,activo
6,2013-12-31,1983-01-21,mujer,viudo,bachillerato,empleado,8.3,3147.07,1,propia,Vizcaya,activo
7,2026-05-26,2005-11-23,hombre,casado,universitario,empleado,2,1381.2,2,alquiler,Barcelona,activo
8,2021-10-05,1997-11-03,mujer,divorciado,universitario,empleado,10,4019.57,1,alquiler,Málaga,activo
9,2021-09-23,1998-02-16,mujer,casado,bachillerato,autonomo,10,2721.99,1,hipotecada,Vizcaya,activo
10,2018-06-08,1953-06-30,hombre,viudo,universitario,empleado,3.7,1925.64,2,familiar,Vizcaya,inactivo
11,2026-03-28,1982-10-31,hombre,divorciado,formacion_profesional,empleado,4.4,2064.5,1,hipotecada,Zaragoza,activo
12,2020-02-05,1999-05-01,hombre,soltero,bachillerato,empleado,9,1702.45,0,familiar,Zaragoza,activo
13,2015-11-21,1973-07-23,hombre,soltero,universitario,empleado,8.6,2401.96,2,alquiler,Alicante,activo
14,2024-02-03,2005-07-21,mujer,casado,formacion_profesional,empleado,2,4639.15,0,propia,Sevilla,activo
15,2007-03-14,1979-09-23,hombre,soltero,bachillerato,empleado,5.6,2889.6,1,propia,Alicante,activo
16,2011-05-26,1985-11-10,mujer,soltero,universitario,empleado,15.7,2503.19,0,propia,A Coruña,activo
17,2025-12-17,2007-10-03,mujer,viudo,secundaria,empleado,0,2276.84,0,familiar,Sevilla,activo
18,2014-10-10,1987-05-21,hombre,divorciado,formacion_profesional,autonomo,7.2,2954.35,0,hipotecada,Málaga,activo
19,2026-05-20,2008-05-24,mujer,casado,formacion_profesional,empleado,0,1544.82,0,propia,Vizcaya,activo
20,2018-06-07,1988-07-31,hombre,soltero,posgrado,empleado,0.4,2955.03,1,hipotecada,Valencia,activo
21,2009-07-26,1986-01-06,hombre,viudo,universitario,autonomo,16.1,5293.66,0,propia,Zaragoza,activo
22,2008-08-16,1981-02-16,mujer,casado,universitario,autonomo,0,2940.13,0,hipotecada,A Coruña,activo
23,2019-11-18,1998-06-09,hombre,viudo,posgrado,empleado,5.3,1379.05,1,hipotecada,Sevilla,activo
24,2024-10-08,1958-04-01,hombre,casado,universitario,empleado,0,3008.31,1,propia,Madrid,activo
