id_cuenta,id_cliente,tipo_cuenta,fecha_apertura,saldo_actual,limite_descubierto,estado_cuenta
1,1,corriente,2019-07-06,31048.07,500,activa
2,2,corriente,2023-11-06,4643.71,500,activa
3,3,corriente,2025-09-02,7079.2,0,activa
4,4,ahorro,2020-03-01,-7974.66,0,activa
5,4,ahorro,2025-11-10,-7075.38,0,activa
6,5,corriente,2025-03-14,14708.73,1000,activa
7,6,corriente,2023-02-28,22663.23,1000,activa
8,7,corriente,2026-06-21,3489.94,300,activa
9,8,corriente,2025-06-18,42929.83,300,activa
10,8,ahorro,2024-01-23,-11354.18,0,activa
11,9,corriente,2025-12-14,12949.47,500,cerrada
12,10,corriente,2021-04-06,11264.56,0,cerrada
13,11,corriente,2026-05-31,861.92,300,activa
14,11,corriente,2026-04-14,-793.46,1000,activa
15,12,corriente,2025-04-18,4474.02,300,activa
16,13,ahorro,2024-06-25,26652.76,0,activa
17,14,corriente,2025-05-29,35142.97,500,activa
18,15,corriente,2015-10-09,18838.33,500,activa
19,16,corriente,2024-03-21,23138.65,1000,activa
20,16,corriente,2019-10-13,-5720.56,500,activa
21,17,ahorro,2026-03-13,6594.37,0,activa
22,18,ahorro,2018-10-23,19195.14,0,activa
23,19,corriente,2026-06-23,3424.09,300,activa
24,20,corriente,2023-10-24,18380.81,0,activa
25,20,ahorro,2024-08-01,-6587.17,0,activa
26,20,corriente,2021-06-08,-4091.93,0,activa
27,21,corriente,2019-10-29,39265.51,300,activa
28,22,corriente,2016-08-19,28675.36,500,activa
29,23,corriente,2024-06-23,3091.26,0,activa
30,24,ahorro,2025-06-02,33106.28,0,activa
31,25,corriente,2015-01-24,13148.64,1000,activa
32,26,corriente,2026-04-22,11383.18,300,activa
33,27,corriente,2022-04-14,9527.73,300,activa
34,28,corriente,2025-07-01,-4201.71,1000,activa
35,29,corriente,2025-12-06,15092.2,500,activa
36,30,corriente,2026-06-29,-1307.06,300,activa
37,31,corriente,2026-01-29,3617.21,300,activa
38,32,corriente,2022-12-13,19286.74,500,activa
39,33,corriente,2025-04-27,-7226.43,0,activa
40,34,corriente,2025-04-13,7600.0,1000,activa
41,35,corriente,2020-02-21,14989.71,500,activa
42,36,corriente,2026-03-11,-3001.65,500,activa
43,36,corriente,2025-01-26,-6471.45,0,activa
44,37,corriente,2020-09-26,28908.63,500,activa
45,38,corriente,2026-06-28,8254.34,1000,activa
46,39,corriente,2011-05-31,28227.65,0,activa
47,40,corriente,2026-05-27,-1603.15,1000,activa
48,40,corriente,2026-05-04,-721.63,1000,activa
49,41,ahorro,2025-11-16,9832.7,0,activa
50,42,corriente,2018-07-11,-1349.95,300,activa
51,43,corriente,2023-03-02,13043.24,0,activa
52,43,corriente,2023-09-09,-6594.98,500,activa
53,44,corriente,2026-01-25,1708.9,1000,activa
54,45,corriente,2026-01-21,3564.33,300,activa
55,45,corriente,2020-05-30,-4591.03,1000,activa
56,46,corriente,2025-06-14,17479.67,300,activa
57,47,corriente,2023-04-01,10600.45,1000,activa
58,48,corriente,2013-05-20,20765.53,0,activa
59,49,corriente,2026-06-07,277.16,1000,activa
60,50,ahorro,2018-10-08,11611.39,0,activa
61,51,corriente,2016-12-26,6286.01,0,activa
62,52,corriente,2025-04-14,19431.59,300,activa
63,53,corriente,2026-06-23,-1067.22,1000,activa
64,53,corriente,2026-06-29,-744.15,0,activa
65,54,corriente,2021-03-23,36545.65,500,activa
66,54,corriente,2024-05-28,-2720.19,300,activa
67,55,corriente,2024-11-12,6395.36,1000,activa
68,56,corriente,2015-04-22,16788.81,300,activa
69,57,corriente,2020-06-18,9874.14,0,activa
70,58,corriente,2026-05-14,5203.18,0,activa
71,58,corriente,2025-04-09,-3937.05,300,activa
72,58,ahorro,2024-03-17,-4882.2,0,activa
73,59,corriente,2026-05-14,-947.1,500,activa
74,60,corriente,2023-04-06,9141.02,1000,activa
75,60,corriente,2024-09-14,-8235.42,500,activa
76,61,ahorro,2022-07-16,1583.2,0,activa
77,61,ahorro,2020-12-08,-8419.71,0,activa
78,62,ahorro,2021-10-16,21631.16,0,activa
79,63,corriente,2026-06-20,941.97,1000,activa
80,64,corriente,2024-03-05,2884.19,1000,activa
81,65,corriente,2024-11-08,17220.58,300,activa
82,65,corriente,2015-02-18,-7710.82,300,activa
83,66,corriente,2026-02-19,1027.03,0,activa
84,66,ahorro,2021-09-18,-7409.8,0,activa
85,67,corriente,2021-04-15,17516.63,300,activa
86,68,corriente,2017-08-25,31358.69,0,activa
87,68,corriente,2019-11-12,-4083.98,0,activa
88,69,corriente,2022-05-25,20880.48,1000,activa
89,70,corriente,2024-05-21,9485.87,1000,activa
90,70,ahorro,2025-01-04,-12326.83,0,activa
91,71,ahorro,2019-03-10,35.59,0,bloqueada
92,72,ahorro,2026-06-24,5391.65,0,activa
93,72,ahorro,2026-06-30,709.23,0,activa
94,72,corriente,2026-06-20,339.83,1000,activa
95,73,ahorro,2019-12-23,10360.62,0,activa
96,74,ahorro,2025-01-17,13335.31,0,activa
97,75,corriente,2024-10-04,1714.3,300,activa
98,76,corriente,2017-11-14,13596.59,300,activa
99,77,ahorro,2023-03-05,19118.63,0,activa
100,77,corriente,2023-05-04,-3156.27,1000,activa
101,77,ahorro,2024-03-28,-7023.83,0,activa
102,78,corriente,2018-03-23,19013.93,1000,activa
103,79,ahorro,2026-04-10,9185.8,0,activa
104,80,corriente,2025-06-25,11472.9,500,activa
105,80,corriente,2026-06-20,-309.98,500,activa
106,81,corriente,2015-10-18,43233.1,300,activa
107,81,ahorro,2023-07-22,-5477.3,0,activa
108,82,corriente,2024-12-21,-186.8,500,activa
109,83,corriente,2026-06-13,5402.92,1000,activa
