id_evaluacion,id_cliente,fecha_evaluacion,score_crediticio,ingresos_mensuales,deuda_total,ratio_endeudamiento,num_impagos_12m,utilizacion_credito_pct,nivel_riesgo,probabilidad_impago
1,1,2025-09-30,824,3544.07,37188.11,87.44,0,48.75,medio,0.1049
2,1,2025-12-31,759,3544.07,10153.37,23.87,0,26.01,bajo,0.06244
3,1,2026-03-31,807,3544.07,48793.88,114.73,0,39.24,medio,0.16653
4,1,2026-06-30,820,3544.07,62862.88,120,0,26.47,medio,0.1715
5,2,2025-09-30,811,1411.64,21587.42,120,1,36.65,medio,0.20022
6,2,2025-12-31,851,1411.64,20426.55,120,1,43.4,medio,0.18735
7,2,2026-03-31,799,1411.64,4197.23,24.78,1,0,bajo,0.05618
8,2,2026-06-30,828,1411.64,20478.32,120,1,21.14,medio,0.19364
9,3,2025-09-30,763,2134.5,7200.17,28.11,0,66.66,bajo,0.05831
10,3,2025-12-31,746,2134.5,16606.92,64.84,0,0,medio,0.11746
11,3,2026-03-31,745,2134.5,19822.11,77.39,0,75.3,medio,0.14388
12,3,2026-06-30,793,2134.5,17033.76,66.5,0,48.1,bajo,0.07765
13,4,2025-09-30,662,138.5,802.11,48.26,0,20.47,alto,0.28633
14,4,2025-12-31,691,138.5,90.09,5.42,0,43.35,medio,0.18653
15,4,2026-03-31,645,138.5,906.44,54.54,0,27.76,alto,0.36515
16,4,2026-06-30,651,138.5,1723.85,103.72,0,47.5,alto,0.43926
17,5,2025-09-30,746,2265.8,4081.17,15.01,0,26.7,bajo,0.07779
18,5,2025-12-31,770,2265.8,9605.6,35.33,0,31.96,bajo,0.05171
19,5,2026-03-31,735,2265.8,39787.8,120,0,26.97,alto,0.24341
20,5,2026-06-30,751,2265.8,40234.4,120,0,16.57,alto,0.22152
21,6,2025-09-30,789,3147.07,34901.38,92.42,0,83.12,medio,0.132
22,6,2025-12-31,780,3147.07,31930.07,84.55,0,55.07,medio,0.12258
23,6,2026-03-31,780,3147.07,41702.16,110.43,0,27.94,medio,0.17434
24,6,2026-06-30,770,3147.07,16474.94,43.63,0,37.67,bajo,0.05171
25,7,2026-06-30,618,1381.2,18741.78,113.08,0,0,alto,0.59985
26,8,2025-09-30,766,4019.57,37306.2,77.34,0,43.71,medio,0.12008
27,8,2025-12-31,803,4019.57,66421.38,120,0,58.49,medio,0.17905
28,8,2026-03-31,800,4019.57,2223.84,4.61,0,57.19,bajo,0.03063
29,8,2026-06-30,802,4019.57,51567.93,106.91,0,20.68,medio,0.15339
30,9,2025-09-30,694,2721.99,7832.11,23.98,0,24.33,medio,0.17839
31,9,2025-12-31,699,2721.99,4386.44,13.43,0,48.55,medio,0.16546
32,9,2026-03-31,713,2721.99,4616.12,14.13,0,13.0,medio,0.13323
33,9,2026-06-30,713,2721.99,21979.7,67.29,0,11.42,medio,0.17781
34,10,2025-09-30,826,1925.64,30700.52,120,0,52.53,medio,0.16932
35,10,2025-12-31,814,1925.64,11792.92,51.03,0,11.26,bajo,0.03598
36,10,2026-03-31,811,1925.64,6759.5,29.25,0,66.31,bajo,0.02522
37,10,2026-06-30,853,1925.64,31676.19,120,0,48.06,medio,0.16191
38,11,2026-03-31,647,2064.5,12803.14,51.68,0,29.55,alto,0.35125
39,11,2026-06-30,659,2064.5,33851.95,120,0,9.29,alto,0.44092
40,12,2025-09-30,731,1702.45,27414.7,120,0,75.98,alto,0.24975
41,12,2025-12-31,707,1702.45,24717.0,120,0,5.04,alto,0.29634
42,12,2026-03-31,750,1702.45,25079.51,120,0,46.89,alto,0.22273
43,12,2026-06-30,701,1702.45,28609.98,120,0,25.05,alto,0.3105
44,13,2025-09-30,618,2401.96,32345.59,112.22,0,8.11,alto,0.59814
45,13,2025-12-31,636,2401.96,17668.95,61.3,0,46.43,alto,0.41657
46,13,2026-03-31,618,2401.96,14435.07,50.08,0,0,alto,0.47386
47,13,2026-06-30,605,2401.96,23493.08,81.51,0,46.5,alto,0.59573
48,14,2025-09-30,716,4639.15,8831.3,15.86,0,10.68,medio,0.12705
49,14,2025-12-31,687,4639.15,19555.28,35.13,0,40.34,medio,0.19782
50,14,2026-03-31,685,4639.15,80749.85,120,0,44.57,alto,0.35365
51,14,2026-06-30,698,4639.15,43538.84,78.21,0,8.19,alto,0.2344
52,15,2025-09-30,730,2889.6,38065.47,109.78,0,34.86,alto,0.23095
53,15,2025-12-31,746,2889.6,26679.08,76.94,0,51.71,medio,0.14167
54,15,2026-03-31,729,2889.6,11817.76,34.08,0,21.04,medio,0.10306
55,15,2026-06-30,741,2889.6,33732.68,97.28,0,82.47,medio,0.18913
56,16,2025-09-30,798,2503.19,8793.73,29.28,0,17.8,bajo,0.03173
