id_pago,id_prestamo,fecha_vencimiento,fecha_pago,importe_previsto,importe_pagado,dias_retraso,estado_pago
1,1,2025-10-26,2025-10-26,658.18,658.18,0,pagado
2,1,2025-11-25,2025-11-25,658.18,658.18,0,pagado
3,1,2025-12-25,2025-12-25,658.18,658.18,0,pagado
4,1,2026-01-24,2026-01-24,658.18,658.18,0,pagado
5,1,2026-02-23,2026-02-23,658.18,658.18,0,pagado
6,1,2026-03-25,2026-03-25,658.18,658.18,0,pagado
7,1,2026-04-24,2026-04-24,658.18,658.18,0,pagado
8,1,2026-05-24,2026-05-24,658.18,658.18,0,pagado
9,1,2026-06-23,2026-06-23,658.18,658.18,0,pagado
10,2,2023-11-07,2023-12-13,966.5,966.5,36,retrasado
11,2,2023-12-07,2023-12-07,966.5,966.5,0,pagado
12,2,2024-01-06,2024-01-06,966.5,966.5,0,pagado
13,2,2024-02-05,2024-04-30,966.5,966.5,85,retrasado
14,2,2024-03-06,2024-03-06,966.5,966.5,0,pagado
15,2,2024-04-05,2024-04-05,966.5,966.5,0,pagado
16,2,2024-05-05,2024-05-05,966.5,966.5,0,pagado
17,2,2024-06-04,2024-06-04,966.5,966.5,0,pagado
18,2,2024-07-04,2024-07-04,966.5,966.5,0,pagado
19,2,2024-08-03,2024-08-03,966.5,966.5,0,pagado
20,2,2024-09-02,2024-09-02,966.5,966.5,0,pagado
21,2,2024-10-02,2024-10-02,966.5,966.5,0,pagado
22,2,2024-11-01,2024-11-01,966.5,966.5,0,pagado
23,2,2024-12-01,2024-12-01,966.5,966.5,0,pagado
24,2,2024-12-31,2024-12-31,966.5,966.5,0,pagado
25,2,2025-01-30,2025-01-30,966.5,966.5,0,pagado
26,2,2025-03-01,2025-03-01,966.5,966.5,0,pagado
27,2,2025-03-31,2025-03-31,966.5,966.5,0,pagado
28,2,2025-04-30,2025-04-30,966.5,966.5,0,pagado
29,2,2025-05-30,2025-05-30,966.5,966.5,0,pagado
30,2,2025-06-29,2025-06-29,966.5,966.5,0,pagado
31,2,2025-07-29,2025-07-29,966.5,966.5,0,pagado
32,2,2025-08-28,2025-08-28,966.5,966.5,0,pagado
33,2,2025-09-27,2025-09-27,966.5,966.5,0,pagado
34,3,2024-12-03,2024-12-03,360.11,360.11,0,pagado
35,3,2025-01-02,2025-01-02,360.11,360.11,0,pagado
36,3,2025-02-01,2025-02-01,360.11,360.11,0,pagado
37,3,2025-03-03,2025-03-03,360.11,360.11,0,pagado
38,3,2025-04-02,2025-04-02,360.11,360.11,0,pagado
39,3,2025-05-02,2025-05-02,360.11,360.11,0,pagado
40,3,2025-06-01,2025-06-01,360.11,360.11,0,pagado
41,3,2025-07-01,2025-07-01,360.11,360.11,0,pagado
