id_prestamo,id_solicitud,fecha_concesion,importe_concedido,tipo_interes,plazo_meses,cuota_mensual,saldo_pendiente,fecha_vencimiento,estado_prestamo
1,1,2025-09-26,31711.14,8.99,60,658.18,27810.2,2030-09-26,activo
2,2,2023-10-08,21277.64,8.43,24,966.5,0.22,2025-10-07,pagado
3,3,2024-11-03,17652.41,8.26,60,360.11,12555.03,2029-11-03,activo
4,5,2023-04-11,36844.52,8.53,36,1163.64,0,2026-04-10,pagado
5,7,2024-08-22,12769.53,7.53,60,256.09,8632.33,2029-08-22,activo
6,8,2024-11-19,18332.7,9.73,24,843.68,4117.66,2026-11-19,activo
7,9,2023-08-07,39110.67,8.24,36,1229.97,1219.6,2026-08-06,activo
8,11,2026-06-07,31761.08,11.06,60,691.56,31761.08,2031-06-07,activo
9,12,2023-09-01,9317.78,9.85,24,429.34,0,2025-08-31,pagado
10,13,2025-11-22,43266.31,10.66,48,1111.03,38041.96,2029-11-22,activo
11,15,2024-12-19,12189.25,8.48,36,384.66,6480.59,2027-12-19,mora
12,16,2024-05-15,159783.25,7.87,180,1514.94,147140.75,2039-05-16,activo
13,17,2026-06-16,13033.4,8.56,36,411.82,13033.4,2029-06-15,activo
14,18,2026-06-26,7876.46,11.38,36,259.27,7876.46,2029-06-25,activo
15,20,2025-07-27,9692.6,10.45,72,181.79,8573.5,2031-07-27,mora
16,22,2025-03-23,7631.23,8.98,60,158.34,6142.92,2030-03-23,impagado
17,23,2023-08-06,16388.93,9.12,60,341.19,7740.0,2028-08-05,mora
18,24,2025-02-04,14338.2,9.31,36,458.0,8062.83,2028-02-04,activo
19,25,2026-03-28,18837.44,8.5,36,594.65,17443.96,2029-03-27,activo
20,26,2025-12-29,14164.89,9.9,36,456.43,12084.99,2028-12-28,activo
21,27,2025-05-06,165809.03,8.68,240,1457.8,162015.62,2045-05-06,activo
22,28,2023-02-14,34277.42,9.37,60,717.66,12630.16,2028-02-14,mora
23,29,2026-06-29,32383.87,11.37,84,560.86,32383.87,2033-06-28,activo
24,30,2024-04-14,24708.17,10.48,60,530.79,15558.21,2029-04-14,mora
25,31,2026-06-19,14575.76,8.26,48,357.63,14575.76,2030-06-19,activo
26,33,2026-06-07,27737.6,7.88,24,1252.95,27737.6,2028-06-06,activo
27,34,2026-04-15,11440.8,10.2,12,1006.9,9613.76,2027-04-15,activo
28,35,2025-06-16,27146.08,9.82,48,686.17,21320.2,2029-06-16,activo
29,36,2026-03-03,22793.22,9.97,12,2003.52,17305.44,2027-03-03,activo
30,37,2025-04-01,14191.22,7.3,24,637.31,5565.13,2027-04-01,activo
31,38,2024-03-28,11136.06,7.75,48,270.56,5297.3,2028-03-28,activo
32,39,2024-07-16,29815.93,6.28,12,2569.92,0.86,2025-07-16,pagado
33,40,2023-11-14,284420.31,11.01,360,2711.75,280775.03,2053-11-14,mora
34,41,2023-06-24,22562.93,9.09,60,469.41,10262.26,2028-06-23,mora
35,42,2026-05-18,14698.3,8.46,60,301.31,14500.61,2031-05-18,activo
36,43,2026-04-10,5807.14,9.31,24,266.11,5363.31,2028-04-09,activo
37,44,2023-03-27,7502.78,8.73,36,237.65,0,2026-03-26,pagado
38,45,2023-08-18,22780.41,9.84,24,1049.57,0,2025-08-17,pagado
39,46,2023-06-30,27373.73,11.15,72,523.09,15946.7,2029-06-29,activo
40,48,2025-03-22,27911.27,9.19,60,581.92,22082.67,2030-03-22,activo
41,49,2026-05-18,17304.16,9.48,24,794.32,16646.54,2028-05-17,activo
42,50,2026-01-29,21468.16,10.53,48,549.94,19628.37,2030-01-29,activo
43,51,2025-07-20,17630.2,8.25,12,1535.7,1524.74,2026-07-20,activo
44,52,2025-09-17,14176.51,10.03,48,359.77,11930.97,2029-09-17,mora
45,53,2025-07-07,15983.83,9.62,60,336.66,13595.89,2030-07-07,activo
46,54,2024-03-30,29363.87,10.73,36,957.56,8246.03,2027-03-30,mora
47,55,2025-05-30,27960.82,9.69,84,459.74,24767.58,2032-05-29,mora
48,56,2025-12-20,16453.51,9.47,36,526.82,14024.17,2028-12-19,activo
49,57,2023-05-26,17712.88,7.3,24,795.43,0.84,2025-05-25,pagado
50,58,2026-06-30,17336.33,10.73,48,445.83,17336.33,2030-06-30,activo
51,59,2026-03-22,2652.74,10.59,48,68.04,2517.67,2030-03-22,activo
52,60,2026-03-09,24262.74,10.84,24,1129.04,21508.41,2028-03-08,activo
53,61,2024-01-09,229959.5,9.72,240,2176.01,219367.08,2044-01-09,activo
54,63,2025-04-07,29521.13,11.39,48,768.62,22245.01,2029-04-07,mora
55,64,2025-08-15,3420.77,8.24,12,297.94,589.89,2026-08-15,activo
56,65,2024-10-22,9955.34,9.7,84,163.72,8156.11,2031-10-22,mora
57,66,2024-09-20,28137.66,10.38,60,603.07,20321.1,2029-09-20,activo
58,67,2023-12-19,14556.45,10.96,36,476.31,2767.63,2026-12-18,mora
59,68,2024-08-06,2735.26,8.38,36,86.19,1067.69,2027-08-06,activo
60,69,2023-12-24,233820.87,10.13,360,2073.69,230555.44,2053-12-24,impagado
61,70,2026-06-10,14892.35,6.99,12,1288.51,14892.35,2027-06-10,activo
62,71,2026-06-04,17594.46,6.85,48,420.1,17594.46,2030-06-04,activo
63,73,2025-09-16,20961.67,11.57,48,547.63,18102.37,2029-09-16,impagado
64,74,2023-10-13,38585.49,9.49,36,1235.83,3649.48,2026-10-12,activo
65,75,2024-11-05,6642.02,11.89,12,589.8,0,2025-11-05,pagado
66,77,2026-01-10,33653.24,9.8,36,1082.77,29547.04,2029-01-09,activo
67,78,2025-10-29,32954.79,8.02,48,804.82,28167.35,2029-10-29,activo
68,79,2023-04-11,23143.39,11.59,72,447.55,12594.41,2029-04-10,mora
69,80,2025-01-05,22948.5,10.0,72,425.13,18426.54,2031-01-05,activo
70,81,2024-09-24,10978.15,9.74,60,231.86,7724.01,2029-09-24,activo
71,82,2024-04-27,41470.21,10.35,84,696.03,31655.87,2031-04-27,activo
72,83,2023-04-26,29685.5,9.93,60,629.69,12618.93,2028-04-25,mora
73,84,2024-05-20,24051.58,11.06,12,2126.34,0.65,2025-05-20,pagado
74,85,2023-01-11,304520.28,5.92,300,1946.31,283855.63,2048-01-12,mora
75,86,2023-08-30,43132.6,9.3,60,901.62,21159.55,2028-08-29,activo
76,87,2026-06-30,8659.13,9.3,12,758.47,8659.13,2027-06-30,activo
77,88,2023-11-12,1551.31,8.21,36,48.77,191.51,2026-11-11,mora
78,90,2025-03-18,19830.85,8.57,60,407.56,15636.11,2030-03-18,activo
79,91,2024-07-22,8626.38,11.01,48,222.99,4961.63,2028-07-22,mora
80,92,2024-11-14,2723.3,10.7,12,240.31,0,2025-11-14,pagado
81,93,2024-03-14,38884.45,10.54,36,1264.5,10899.24,2027-03-14,mora
82,94,2026-04-11,137291.2,9.79,300,1227.3,137075.86,2051-04-12,activo
83,95,2026-03-09,20177.53,9.19,36,643.47,18699.44,2029-03-08,activo
84,96,2023-09-23,15789.22,7.49,36,491.06,1934.38,2026-09-22,impagado
85,97,2023-05-07,20775.09,9.08,24,949.82,1.24,2025-05-06,activo
86,98,2026-04-21,23725.02,9.26,48,593.3,22901.41,2030-04-21,activo
87,99,2025-11-21,15873.29,9.38,12,1390.94,6794.56,2026-11-21,activo
88,100,2025-10-06,7418.75,7.03,12,642.01,2531.02,2026-10-06,activo
89,101,2025-01-13,2046.17,7.07,12,177.12,0,2026-01-13,pagado
90,102,2025-07-17,18469.7,9.82,60,390.75,15723.5,2030-07-17,activo
91,103,2024-01-29,15235.18,10.5,36,495.21,3347.09,2027-01-28,mora
92,104,2023-05-24,16689.98,6.97,36,515.14,0,2026-05-23,pagado
93,105,2023-12-21,3579.47,9.96,36,115.44,672.65,2026-12-20,mora
94,106,2023-04-30,17976.91,9.06,60,373.71,7547.96,2028-04-29,activo
95,107,2026-05-30,22879.12,8.57,24,1040.67,22001.85,2028-05-29,activo
96,109,2025-08-05,8644.0,11.16,48,224.09,7145.34,2029-08-05,activo
97,110,2023-02-26,17522.43,10.49,12,1544.51,0,2024-02-26,pagado
98,111,2025-07-18,7821.97,11.0,36,256.07,5698.36,2028-07-17,mora
99,112,2025-06-14,11247.56,9.4,12,985.71,0,2026-06-14,pagado
100,113,2026-05-25,1746.96,9.9,12,153.51,1607.86,2027-05-25,activo
101,115,2023-07-19,27801.08,11.31,36,914.29,904.42,2026-07-18,mora
102,116,2025-02-28,4323.23,9.27,24,198.04,1530.67,2027-02-28,mora
103,117,2024-12-05,85452.62,10.0,300,776.63,84130.21,2049-12-06,mora
104,118,2025-08-29,8105.69,9.78,48,204.71,6667.23,2029-08-29,activo
105,119,2025-04-02,10440.16,11.14,72,199.48,8797.65,2031-04-02,activo
106,122,2025-06-08,21710.93,10.42,12,1913.0,0,2026-06-08,pagado
107,125,2025-06-08,5068.53,8.63,12,442.39,0,2026-06-08,pagado
108,126,2023-12-16,267045.84,8.47,240,2313.09,252794.5,2043-12-16,mora
109,127,2023-10-20,10788.06,8.79,60,222.87,5621.91,2028-10-19,mora
110,128,2024-03-29,21011.73,9.89,24,968.56,0,2026-03-29,pagado
111,129,2023-06-12,11457.31,9.89,60,242.82,5068.14,2028-06-11,mora
112,130,2023-11-26,297366.56,9.35,180,3078.71,270773.42,2038-11-26,mora
113,131,2025-07-23,315985.63,10.8,360,2962.1,314624.97,2055-07-24,activo
114,132,2026-04-22,23059.76,9.68,60,486.37,22456.63,2031-04-22,activo
115,133,2025-11-18,21065.74,8.41,36,664.11,17373.51,2028-11-17,activo
116,136,2024-11-04,12973.11,11.28,12,1148.3,0,2025-11-04,pagado
117,137,2024-03-24,25374.01,8.61,36,802.32,6967.31,2027-03-24,mora
118,138,2026-06-17,19977.49,9.15,36,636.71,19977.49,2029-06-16,activo
119,139,2026-05-15,23393.08,8.05,36,733.63,22816.38,2029-05-14,activo
120,140,2023-01-05,15506.91,11.04,24,723.01,0.58,2025-01-04,pagado
121,142,2026-02-17,17343.82,9.3,60,362.55,16420.62,2031-02-17,activo
122,143,2025-05-15,28203.27,10.05,48,716.01,21642.51,2029-05-15,activo
123,144,2025-10-07,22987.79,8.47,60,471.29,20453.57,2030-10-07,activo
124,145,2023-12-08,11905.77,10.79,12,1051.07,0.2,2024-12-07,pagado
125,146,2023-09-23,6211.01,9.66,36,199.42,588.83,2026-09-22,mora
126,148,2025-03-20,23215.77,11.12,12,2053.12,0.35,2026-03-20,pagado
127,149,2024-08-09,15713.82,10.11,48,399.39,8968.65,2028-08-09,activo
128,150,2025-12-03,97749.7,11.52,360,969.76,97556.95,2055-12-04,activo
129,151,2023-02-17,15385.17,9.71,36,494.36,0,2026-02-16,pagado
130,152,2025-08-02,17249.6,9.26,36,550.64,12475.39,2028-08-01,activo
131,153,2024-02-21,17744.74,9.71,48,447.61,8233.48,2028-02-21,activo
132,155,2025-11-06,2326.91,8.86,24,106.15,1690.16,2027-11-06,activo
133,156,2025-09-24,30185.36,7.78,60,608.93,26368.38,2030-09-24,activo
134,157,2024-03-05,5075.92,7.71,24,228.9,0,2026-03-05,pagado
135,158,2024-09-24,121515.75,8.81,180,1218.77,114128.46,2039-09-25,activo
136,160,2024-08-28,25047.52,10.32,24,1159.48,2290.4,2026-08-28,activo
137,163,2023-10-22,25485.74,9.28,60,532.57,13358.22,2028-10-21,activo
138,165,2025-09-05,8274.47,9.06,60,172.01,7258.33,2030-09-05,activo
139,166,2025-05-08,23471.15,8.19,48,575.11,17850.69,2029-05-08,activo
140,169,2023-06-13,13358.31,9.4,48,334.96,3517.38,2027-06-13,activo
141,172,2025-08-24,84775.94,9.48,180,884.22,82553.16,2040-08-24,activo
142,173,2024-10-01,11178.43,8.92,24,510.3,2003.15,2026-10-01,activo
143,174,2023-02-06,26442.06,9.58,48,665.31,4512.39,2027-02-06,activo
144,177,2026-04-12,20441.94,7.34,60,408.04,20158.94,2031-04-12,impagado
145,178,2026-04-20,23308.88,8.1,24,1055.25,21506.99,2028-04-19,activo
146,179,2026-03-24,197544.21,8.02,300,1527.68,196917.76,2051-03-25,activo
147,180,2024-03-04,16579.43,8.55,48,409.02,7600.41,2028-03-04,activo
148,181,2024-08-09,26771.32,9.37,72,487.53,19784.59,2030-08-09,mora
149,182,2023-09-29,282943.62,10.23,180,3080.8,257583.38,2038-09-29,mora
150,183,2024-05-07,22394.91,9.8,36,720.51,6892.14,2027-05-07,mora
151,184,2024-01-02,23660.64,10.47,48,605.41,10559.63,2028-01-02,activo
152,185,2025-04-01,13223.92,11.41,24,618.87,5313.72,2027-04-01,activo
153,186,2024-10-19,17896.41,8.42,60,366.5,12742.74,2029-10-19,mora
154,187,2024-08-28,20805.38,9.72,60,439.24,14314.64,2029-08-28,mora
155,188,2026-06-29,11551.89,8.47,72,205.2,11551.89,2032-06-28,activo
156,189,2026-06-30,14275.26,11.71,36,472.15,14275.26,2029-06-29,activo
157,190,2023-06-14,15715.26,8.97,84,252.62,9979.36,2030-06-13,activo
158,191,2023-01-28,6951.51,10.49,12,612.72,0.17,2024-01-28,pagado
159,194,2026-05-29,9621.66,10.15,36,311.12,9391.92,2029-05-28,activo
160,195,2026-02-18,86589.75,9.12,240,785.86,86072.78,2046-02-18,activo
161,197,2026-03-19,19800.88,10.0,60,420.76,19027.21,2031-03-19,activo
162,198,2023-09-30,6150.11,9.48,60,129.11,3127.81,2028-09-29,mora
163,199,2023-08-28,2020.33,10.44,48,51.67,678.23,2027-08-28,activo
164,201,2025-06-17,11435.07,9.47,12,1002.5,0.1,2026-06-17,pagado
165,202,2025-02-27,32098.08,10.15,84,535.3,27897.92,2032-02-27,impagado
166,203,2024-08-06,2809.99,10.88,24,130.81,129.66,2026-08-06,mora
167,204,2025-02-10,8284.21,9.13,36,263.93,4879.7,2028-02-10,mora
168,205,2024-08-29,7233.76,8.06,48,176.79,4205.18,2028-08-29,mora
169,206,2026-03-25,25027.5,9.49,36,801.59,23815.4,2029-03-24,impagado
170,207,2024-09-05,17474.53,10.15,72,325.09,13207.53,2030-09-05,mora
171,208,2023-08-19,9072.64,8.38,84,143.12,6023.63,2030-08-18,mora
172,209,2024-07-21,17889.68,9.75,36,575.14,7068.76,2027-07-21,activo
173,210,2026-03-04,33715.52,9.37,48,844.96,31956.76,2030-03-04,activo
174,212,2024-04-21,20147.61,9.35,12,1765.17,0.5,2025-04-21,pagado
175,213,2025-12-14,6770.82,9.72,36,217.59,5774.35,2028-12-13,activo
176,214,2026-04-22,271216.52,9.64,240,2552.65,270465.76,2046-04-22,activo
177,215,2023-06-03,31991.22,9.27,36,1021.34,0,2026-06-02,pagado
178,216,2026-03-30,18755.95,8.53,60,385.06,17995.36,2031-03-30,activo
179,218,2024-08-03,15815.92,9.28,36,505.02,6222.65,2027-08-03,mora
180,219,2026-05-16,22914.17,7.26,84,348.73,22704.07,2033-05-15,activo
181,220,2025-06-19,22431.41,8.8,48,556.12,17537.68,2029-06-19,activo
182,221,2023-03-07,20609.9,9.82,48,520.91,4019.59,2027-03-07,mora
183,223,2025-01-14,44755.04,10.65,60,965.32,34379.9,2030-01-14,activo
184,224,2025-11-05,19955.63,10.25,48,508.5,17527.8,2029-11-05,activo
185,225,2025-07-23,2876.85,12.15,60,64.22,2470.69,2030-07-23,mora
186,226,2023-08-02,21353.2,11.08,36,699.84,695.36,2026-08-01,activo
187,227,2024-03-26,35158.88,8.14,84,550.37,25951.94,2031-03-26,activo
188,228,2026-06-30,16378.68,10.05,24,756.16,16378.68,2028-06-29,activo
189,229,2026-05-14,14691.89,10.15,72,273.27,14542.89,2032-05-13,activo
190,230,2023-05-04,9960.96,7.83,36,311.35,0.39,2026-05-03,pagado
191,232,2025-04-02,3630.51,9.58,48,91.35,2640.88,2029-04-02,activo
192,234,2023-11-02,26830.18,9.65,84,440.59,18662.31,2030-11-01,activo
193,235,2025-05-26,25451.12,10.0,84,422.56,22573.97,2032-05-25,mora
194,236,2025-07-04,13733.95,8.47,60,281.54,11430.68,2030-07-04,mora
195,237,2024-02-25,252465.85,9.4,180,2621.18,233200.0,2039-02-25,mora
196,238,2023-01-30,4334.62,10.32,36,140.53,0,2026-01-29,pagado
197,239,2024-12-20,10813.06,6.5,48,256.43,7299.67,2028-12-20,activo
198,240,2024-05-27,9564.7,8.76,60,197.42,6230.97,2029-05-27,activo
199,241,2023-01-27,34108.35,10.47,60,732.57,12778.13,2028-01-27,mora
200,246,2023-05-30,29085.08,11.42,24,1361.28,0,2025-05-29,pagado
201,247,2024-12-28,21037.24,10.27,24,973.38,5669.4,2026-12-28,activo
202,248,2026-05-22,28645.68,9.34,60,599.41,28269.23,2031-05-22,activo
203,249,2026-06-13,2972.97,9.6,60,62.58,2972.97,2031-06-13,activo
204,251,2024-08-08,10047.54,8.79,24,458.05,454.77,2026-08-08,mora
205,252,2026-03-23,25738.51,8.94,24,1175.16,22766.25,2028-03-22,activo
206,253,2026-06-30,22435.1,10.33,84,376.3,22435.1,2033-06-29,activo
207,254,2026-03-31,26693.82,10.03,48,677.47,25319.33,2030-03-31,activo
208,256,2025-06-27,26802.61,9.98,60,569.22,22451.41,2030-06-27,activo
209,257,2025-12-23,44571.85,9.21,84,721.97,42248.38,2032-12-22,activo
210,258,2026-01-31,11017.26,11.61,36,363.88,9705.69,2029-01-30,activo
211,259,2026-04-19,17524.57,9.81,36,563.94,16679.78,2029-04-18,activo
212,260,2026-02-05,24146.85,7.61,72,418.74,23074.27,2032-02-05,activo
213,262,2025-03-24,42446.38,11.07,48,1098.45,31130.3,2029-03-24,activo
214,264,2025-11-29,26362.66,8.98,24,1204.12,19154.57,2027-11-29,activo
215,265,2024-12-22,22996.41,10.2,12,2023.89,0,2025-12-22,pagado
216,266,2023-10-23,25512.0,10.39,84,428.64,17889.52,2030-10-22,mora
217,267,2026-02-06,4947.98,10.11,36,159.92,4469.04,2029-02-05,activo
218,268,2024-07-31,17638.04,10.88,60,382.43,12247.33,2029-07-31,mora
219,269,2025-07-26,16984.02,7.19,60,337.84,14307.96,2030-07-26,activo
220,270,2025-06-26,16460.99,7.53,48,398.22,12797.13,2029-06-26,activo
221,271,2023-02-22,44150.2,9.15,72,799.04,22618.9,2029-02-21,mora
222,273,2024-11-15,3373.93,8.44,24,153.27,750.48,2026-11-15,activo
223,277,2023-04-04,15456.96,10.79,24,718.94,0,2025-04-03,pagado
224,279,2024-06-28,13066.63,10.71,48,335.85,7228.01,2028-06-28,activo
225,280,2025-12-11,10785.67,10.11,12,948.8,5528.44,2026-12-11,activo
226,281,2026-06-11,260013.39,10.48,240,2592.77,260013.39,2046-06-11,activo
227,282,2026-02-20,22282.67,11.94,48,586.14,21178.47,2030-02-20,impagado
228,283,2024-01-31,18340.1,7.88,48,446.73,7953.89,2028-01-31,mora
229,284,2026-02-08,9519.69,8.06,48,232.67,8837.94,2030-02-08,activo
230,285,2025-02-23,17424.94,10.33,48,444.73,12392.22,2029-02-23,activo
231,286,2024-08-13,7596.57,9.41,24,348.47,689.04,2026-08-13,activo
232,287,2024-08-09,41775.14,8.57,48,1031.07,23529.91,2028-08-09,mora
233,288,2024-08-21,5001.09,10.26,12,440.28,0.0,2025-08-21,pagado
234,289,2025-11-11,107396.54,9.08,240,972.03,106255.12,2045-11-11,activo
235,290,2026-06-30,94836.56,9.0,360,762.82,94836.56,2056-06-30,activo
236,291,2026-05-18,279640.86,10.08,180,3019.43,278970.41,2041-05-18,activo
237,292,2024-02-15,6282.89,8.44,48,154.68,2876.69,2028-02-15,activo
