id_solicitud,id_cliente,fecha_solicitud,tipo_credito,importe_solicitado,plazo_meses,finalidad,score_solicitud,ratio_endeudamiento,estado_solicitud,motivo_rechazo
1,1,2025-09-14,vehiculo,31711.14,60,reforma,776,40.3,aprobada,\N
2,2,2023-10-04,personal,21277.64,24,vehiculo,774,43.09,aprobada,\N
3,3,2024-10-23,personal,17652.41,60,reforma,767,9.72,aprobada,\N
4,4,2025-11-18,personal,5913.22,12,liquidez,660,34.38,rechazada,ingresos_insuficientes
5,5,2023-04-05,vehiculo,36844.52,36,consumo,727,29.93,aprobada,\N
6,7,2026-06-20,hipotecario,136142.38,300,reforma,586,38.86,rechazada,score_crediticio_bajo
7,8,2024-08-12,personal,12769.53,60,vivienda,840,4.96,aprobada,\N
8,9,2024-11-09,personal,18332.7,24,liquidez,756,37.22,aprobada,\N
9,10,2023-08-01,vehiculo,39110.67,36,vehiculo,755,32.13,aprobada,\N
10,11,2026-04-13,hipotecario,123001.31,300,liquidez,600,42.59,rechazada,score_crediticio_bajo
11,11,2026-05-31,vehiculo,31761.08,60,reforma,661,42.34,aprobada,\N
12,12,2023-08-29,personal,9317.78,24,vivienda,693,0,aprobada,\N
13,12,2025-11-16,vehiculo,43266.31,48,liquidez,685,17.15,aprobada,\N
14,12,2025-11-11,hipotecario,147064.55,180,vivienda,719,44.05,rechazada,criterios_riesgo
15,15,2024-12-10,personal,12189.25,36,liquidez,774,23.93,aprobada,\N
16,16,2024-05-03,hipotecario,159783.25,180,consumo,769,24.67,aprobada,\N
17,17,2026-06-12,vehiculo,13033.4,36,vivienda,752,24.44,aprobada,\N
18,19,2026-06-22,personal,7876.46,36,consumo,650,13.05,aprobada,\N
19,19,2026-05-22,hipotecario,128734.13,180,reforma,616,41.17,rechazada,criterios_riesgo
20,21,2025-07-16,vehiculo,9692.6,72,liquidez,630,12.75,aprobada,\N
21,24,2025-11-20,vehiculo,10901.67,60,consumo,643,58.97,rechazada,endeudamiento_elevado
22,24,2025-03-18,personal,7631.23,60,vivienda,706,16.49,aprobada,\N
23,29,2023-07-25,personal,16388.93,60,liquidez,756,21.72,aprobada,\N
24,29,2025-01-25,personal,14338.2,36,vehiculo,752,16.28,aprobada,\N
25,32,2026-03-19,personal,18837.44,36,liquidez,732,28.13,aprobada,\N
26,32,2025-12-21,personal,14164.89,36,consumo,701,12.73,aprobada,\N
27,34,2025-05-04,hipotecario,165809.03,240,vehiculo,739,0,aprobada,\N
28,34,2023-02-03,vehiculo,34277.42,60,reforma,760,18.27,aprobada,\N
29,38,2026-06-24,vehiculo,32383.87,84,liquidez,651,18.26,aprobada,\N
30,39,2024-04-04,personal,24708.17,60,reforma,634,26.28,aprobada,\N
31,40,2026-06-07,personal,14575.76,48,consumo,767,25.99,aprobada,\N
32,40,2026-06-04,hipotecario,221691.06,360,vivienda,738,46.56,rechazada,criterios_riesgo
33,40,2026-05-26,personal,27737.6,24,vehiculo,772,14.06,aprobada,\N
34,41,2026-04-10,personal,11440.8,12,reforma,717,22.04,aprobada,\N
35,42,2025-06-06,personal,27146.08,48,vivienda,683,47.42,aprobada,\N
36,44,2026-02-22,personal,22793.22,12,vivienda,673,20.52,aprobada,\N
37,45,2025-03-25,personal,14191.22,24,consumo,889,27.43,aprobada,\N
38,45,2024-03-17,personal,11136.06,48,vehiculo,858,18.62,aprobada,\N
39,45,2024-07-14,personal,29815.93,12,liquidez,874,14.18,aprobada,\N
40,46,2023-11-05,hipotecario,284420.31,360,liquidez,676,37.05,aprobada,\N
41,47,2023-06-23,personal,22562.93,60,reforma,696,30.56,aprobada,\N
42,52,2026-05-09,personal,14698.3,60,vivienda,763,27.56,aprobada,\N
43,52,2026-04-07,personal,5807.14,24,vivienda,741,11.45,aprobada,\N
44,54,2023-03-25,personal,7502.78,36,liquidez,731,14.28,aprobada,\N
45,58,2023-08-11,personal,22780.41,24,consumo,729,0,aprobada,\N
46,58,2023-06-24,vehiculo,27373.73,72,liquidez,678,33.77,aprobada,\N
47,59,2026-03-13,personal,3742.63,24,reforma,440,31.77,rechazada,score_crediticio_bajo
48,61,2025-03-20,personal,27911.27,60,liquidez,740,19.16,aprobada,\N
49,62,2026-05-17,personal,17304.16,24,vivienda,727,29.61,aprobada,\N
50,63,2026-01-27,personal,21468.16,48,consumo,685,15.6,aprobada,\N
51,63,2025-07-13,personal,17630.2,12,liquidez,772,23.29,aprobada,\N
52,64,2025-09-10,vehiculo,14176.51,48,vehiculo,713,27.82,aprobada,\N
53,65,2025-07-02,personal,15983.83,60,consumo,718,27.63,aprobada,\N
54,67,2024-03-21,personal,29363.87,36,vivienda,613,29.68,aprobada,\N
55,67,2025-05-26,vehiculo,27960.82,84,liquidez,680,43.02,aprobada,\N
56,68,2025-12-16,vehiculo,16453.51,36,liquidez,695,53.35,aprobada,\N
57,69,2023-05-16,personal,17712.88,24,consumo,855,27.95,aprobada,\N
58,72,2026-06-18,personal,17336.33,48,vivienda,686,26.43,aprobada,\N
59,73,2026-03-11,personal,2652.74,48,vivienda,644,23.69,aprobada,\N
60,73,2026-03-02,personal,24262.74,24,vehiculo,694,23.76,aprobada,\N
61,74,2024-01-03,hipotecario,229959.5,240,vehiculo,712,27.0,aprobada,\N
62,75,2025-06-30,personal,7520.19,36,vehiculo,566,0,rechazada,score_crediticio_bajo
63,76,2025-03-31,personal,29521.13,48,reforma,618,32.16,aprobada,\N
64,77,2025-08-08,personal,3420.77,12,reforma,800,6.49,aprobada,\N
65,78,2024-10-18,vehiculo,9955.34,84,vehiculo,674,35.83,aprobada,\N
66,79,2024-09-14,personal,28137.66,60,vivienda,664,50.36,aprobada,\N
67,82,2023-12-16,personal,14556.45,36,consumo,688,31.89,aprobada,\N
68,86,2024-07-27,personal,2735.26,36,vehiculo,743,51.34,aprobada,\N
69,86,2023-12-18,hipotecario,233820.87,360,vehiculo,734,40.49,aprobada,\N
70,88,2026-06-08,personal,14892.35,12,vivienda,847,17.47,aprobada,\N
71,88,2026-06-03,personal,17594.46,48,vivienda,851,33.59,aprobada,\N
72,94,2026-04-16,personal,23683.05,12,consumo,530,45.07,rechazada,score_crediticio_bajo
73,97,2025-09-12,personal,20961.67,48,reforma,656,36.72,aprobada,\N
74,100,2023-10-04,vehiculo,38585.49,36,vehiculo,719,28.64,aprobada,\N
75,103,2024-11-01,personal,6642.02,12,vehiculo,635,34.82,aprobada,\N
76,105,2024-04-25,hipotecario,219891.24,360,liquidez,608,61.12,rechazada,score_crediticio_bajo
77,107,2026-01-02,vehiculo,33653.24,36,reforma,710,10.22,aprobada,\N
78,108,2025-10-20,vehiculo,32954.79,48,consumo,769,37.74,aprobada,\N
79,112,2023-04-08,vehiculo,23143.39,72,vivienda,635,45.33,aprobada,\N
80,112,2025-01-02,vehiculo,22948.5,72,reforma,724,18.94,aprobada,\N
81,117,2024-09-18,personal,10978.15,60,liquidez,683,12.17,aprobada,\N
82,119,2024-04-24,vehiculo,41470.21,84,consumo,720,31.17,aprobada,\N
83,119,2023-04-24,personal,29685.5,60,reforma,693,32.9,aprobada,\N
84,120,2024-05-14,personal,24051.58,12,reforma,665,53.23,aprobada,\N
85,121,2023-01-03,hipotecario,304520.28,300,liquidez,903,41.26,aprobada,\N
86,122,2023-08-29,vehiculo,43132.6,60,vivienda,709,11.25,aprobada,\N
87,124,2026-06-25,personal,8659.13,12,vehiculo,756,30.39,aprobada,\N
88,127,2023-11-05,personal,1551.31,36,reforma,828,22.37,aprobada,\N
89,129,2026-02-13,hipotecario,226620.97,240,reforma,579,49.03,rechazada,score_crediticio_bajo
90,130,2025-03-13,personal,19830.85,60,consumo,732,30.47,aprobada,\N
91,131,2024-07-15,personal,8626.38,48,consumo,676,42.44,aprobada,\N
92,132,2024-11-04,personal,2723.3,12,reforma,631,39.14,aprobada,\N
93,133,2024-03-06,vehiculo,38884.45,36,consumo,644,35.39,aprobada,\N
94,134,2026-04-10,hipotecario,137291.2,300,reforma,688,39.53,aprobada,\N
95,135,2026-02-28,personal,20177.53,36,vivienda,751,46.25,aprobada,\N
96,136,2023-09-22,personal,15789.22,36,liquidez,837,33.85,aprobada,\N
97,140,2023-04-25,personal,20775.09,24,consumo,777,35.15,aprobada,\N
98,140,2026-04-20,personal,23725.02,48,vivienda,768,36.05,aprobada,\N
99,140,2025-11-10,personal,15873.29,12,reforma,778,14.42,aprobada,\N
100,143,2025-09-30,personal,7418.75,12,reforma,826,10.07,aprobada,\N
101,143,2025-01-01,personal,2046.17,12,vehiculo,810,18.48,aprobada,\N
102,144,2025-07-14,personal,18469.7,60,consumo,683,38.76,aprobada,\N
103,144,2024-01-20,personal,15235.18,36,vehiculo,686,19.39,aprobada,\N
104,147,2023-05-17,personal,16689.98,36,reforma,871,23.24,aprobada,\N
105,148,2023-12-19,personal,3579.47,36,vehiculo,669,27.55,aprobada,\N
106,148,2023-04-23,personal,17976.91,60,vehiculo,713,33.73,aprobada,\N
107,150,2026-05-27,personal,22879.12,24,consumo,742,26.29,aprobada,\N
108,151,2025-06-12,vehiculo,9595.2,48,vehiculo,594,33.0,rechazada,score_crediticio_bajo
109,153,2025-07-31,personal,8644.0,48,vehiculo,679,23.23,aprobada,\N
110,153,2023-02-20,personal,17522.43,12,vehiculo,694,43.04,aprobada,\N
111,153,2025-07-16,personal,7821.97,36,vivienda,661,19.51,aprobada,\N
112,155,2025-06-12,personal,11247.56,12,liquidez,740,33.84,aprobada,\N
113,155,2026-05-19,personal,1746.96,12,consumo,729,19.98,aprobada,\N
114,156,2025-08-14,personal,12647.16,60,consumo,601,27.09,rechazada,score_crediticio_bajo
115,156,2023-07-17,personal,27801.08,36,vivienda,611,34.03,aprobada,\N
116,157,2025-02-22,personal,4323.23,24,vehiculo,718,54.99,aprobada,\N
117,158,2024-12-03,hipotecario,85452.62,300,liquidez,714,48.73,aprobada,\N
118,158,2025-08-19,personal,8105.69,48,vivienda,734,42.5,aprobada,\N
119,160,2025-03-25,vehiculo,10440.16,72,reforma,610,49.37,aprobada,\N
120,161,2025-05-13,personal,5437.67,48,liquidez,658,62.81,rechazada,endeudamiento_elevado
121,161,2024-05-08,vehiculo,20100.98,72,reforma,631,57.49,rechazada,endeudamiento_elevado
122,162,2025-06-04,personal,21710.93,12,vivienda,684,11.67,aprobada,\N
123,167,2026-05-19,personal,21486.47,48,liquidez,672,25.99,rechazada,ingresos_insuficientes
124,169,2024-01-01,personal,1969.58,48,consumo,521,41.07,rechazada,score_crediticio_bajo
125,170,2025-05-31,personal,5068.53,12,vehiculo,754,32.87,aprobada,\N
126,171,2023-12-04,hipotecario,267045.84,240,consumo,759,33.21,aprobada,\N
127,172,2023-10-12,personal,10788.06,60,vehiculo,778,16.83,aprobada,\N
128,174,2024-03-27,personal,21011.73,24,liquidez,733,22.09,aprobada,\N
129,177,2023-06-01,personal,11457.31,60,vivienda,698,18.12,aprobada,\N
130,177,2023-11-17,hipotecario,297366.56,180,liquidez,720,30.74,aprobada,\N
131,178,2025-07-19,hipotecario,315985.63,360,vivienda,663,49.21,aprobada,\N
132,179,2026-04-13,personal,23059.76,60,liquidez,745,26.68,aprobada,\N
133,182,2025-11-12,personal,21065.74,36,liquidez,767,21.62,aprobada,\N
134,183,2023-11-24,personal,27478.77,36,vivienda,569,46.95,rechazada,score_crediticio_bajo
135,183,2023-11-13,personal,18567.26,12,reforma,567,29.08,rechazada,score_crediticio_bajo
136,184,2024-10-31,personal,12973.11,12,reforma,660,10.64,aprobada,\N
137,186,2024-03-15,vehiculo,25374.01,36,vivienda,798,29.58,aprobada,\N
138,188,2026-06-09,personal,19977.49,36,consumo,768,27.95,aprobada,\N
139,189,2026-05-06,personal,23393.08,36,vivienda,847,5.06,aprobada,\N
140,191,2023-01-01,personal,15506.91,24,liquidez,663,50.54,aprobada,\N
141,192,2026-05-21,hipotecario,302212.91,360,reforma,649,66.63,rechazada,endeudamiento_elevado
142,194,2026-02-11,personal,17343.82,60,vivienda,751,21.67,aprobada,\N
143,194,2025-05-06,personal,28203.27,48,reforma,683,18.89,aprobada,\N
144,198,2025-09-29,vehiculo,22987.79,60,liquidez,787,22.32,aprobada,\N
145,202,2023-12-06,personal,11905.77,12,reforma,687,32.49,aprobada,\N
146,204,2023-09-22,personal,6211.01,36,vivienda,684,24.71,aprobada,\N
147,205,2025-12-07,hipotecario,149835.71,180,liquidez,813,41.57,rechazada,criterios_riesgo
148,206,2025-03-16,personal,23215.77,12,vehiculo,661,38.47,aprobada,\N
149,206,2024-08-01,personal,15713.82,48,consumo,699,21.27,aprobada,\N
150,206,2025-12-02,hipotecario,97749.7,360,vehiculo,622,25.56,aprobada,\N
151,207,2023-02-12,vehiculo,15385.17,36,reforma,714,47.09,aprobada,\N
152,209,2025-07-26,vehiculo,17249.6,36,consumo,717,37.16,aprobada,\N
153,216,2024-02-16,personal,17744.74,48,vivienda,696,35.92,aprobada,\N
154,218,2025-10-20,personal,1712.98,60,reforma,545,29.48,rechazada,score_crediticio_bajo
155,222,2025-10-28,personal,2326.91,24,liquidez,736,15.93,aprobada,\N
156,223,2025-09-12,vehiculo,30185.36,60,liquidez,843,12.05,aprobada,\N
